"item_id","subsystem","part_name","specification","qty_build","qty_procure","unit","material_or_source","fabrication","finished_dimension_mm","interface_or_hole_note","scope","critical_acceptance","substitute_or_note"
"FR-001","A10 frame","corner vertical extrusion","2020 V-slot","4","4","pcs","6063-T5 aluminum extrusion","square cut","480","ends square; M5/T-nut assembly","P0","four feet coplanar after assembly","equivalent 2020 profile"
"FR-002","A10 frame","front/rear width rail","2020 V-slot","4","4","pcs","6063-T5 aluminum extrusion","square cut","560","fits between 20 mm corner posts","P0","core outer width 600 ±1","equivalent 2020 profile"
"FR-003","A10 frame","left/right depth rail","2020 V-slot","4","4","pcs","6063-T5 aluminum extrusion","square cut","320","fits between 20 mm corner posts","P0","core outer depth 360 ±1","equivalent 2020 profile"
"FR-004","A10 frame","partition vertical rail","2020 V-slot","2","2","pcs","6063-T5 aluminum extrusion","square cut","440","partition occupies X=400..420","P0","parallel to corner posts within 1 mm","equivalent 2020 profile"
"FR-005","A10 frame","partition depth rail","2020 V-slot","2","2","pcs","6063-T5 aluminum extrusion","square cut","320","top and bottom of partition frame","P0","continuous support for seal","equivalent 2020 profile"
"FR-006","A13 optical bridge","forward optical rail","2020 V-slot","2","2","pcs","6063-T5 aluminum extrusion","square cut","300","quick-removal angle brackets","P0","no visible camera shake after light touch","independent weighted camera stand if table depth is limited"
"FR-007","A13 optical bridge","front optical cross rail","2020 V-slot","1","1","pcs","6063-T5 aluminum extrusion","square cut","320","camera drop plate centered","P0","camera center can reach X=200","equivalent 2020 profile"
"FR-008","A10 frame","adjustable rubber foot","M6 or M8 threaded foot","4","4","pcs","purchased","none","height adjustment ≥10","corner mounting thread matches frame","P0","all feet loaded; tray low point controlled","rubber isolation foot"
"FR-009","A10 frame","metal angle bracket","2020 compatible","24","28","pcs","purchased aluminum/steel","none","standard","M5 bolts and T-nuts","P0","no printed bracket in primary load path","internal corner connector"
"FR-010","A10 frame","T-nut and bolt set","M5 compatible with profile","64","80","sets","purchased steel","none","M5","include washers and thread lock marker","P0","all structural bolts witness-marked","profile vendor set"
"PN-001","A41 partition","wet/dry continuous partition","clear polycarbonate 3 mm","1","1","pcs","polycarbonate sheet","laser/CNC cut","320x440x3","mount on dry side; screw pitch ≤120; EPDM perimeter","P0","0.5 L wet-side spill leaves dry side visibly dry","opaque ABS allowed only if edge seal is inspectable"
"PN-002","A41 partition","closed-cell perimeter seal","EPDM 10 W x 3 T","1.6","2","m","purchased","cut to fit","10x3 strip","continuous corners; no open butt at bottom","P0","no capillary path at bottom edge","closed-cell silicone foam"
"PN-003","outer panel","wet left side guard","clear polycarbonate 3 mm","1","1","pcs","polycarbonate sheet","laser/CNC cut","320x440x3","M5 clearance holes transferred from frame","P0","removable without opening dry bay","PETG sheet if flame/safety rules allow"
"PN-004","outer panel","wet top guard","clear polycarbonate 3 mm","1","1","pcs","polycarbonate sheet","laser/CNC cut","380x320x3","camera bridge bracket clearances by transfer","P0","no contact with optical rails","PETG sheet"
"PN-005","outer panel","wet rear service splash panel","clear polycarbonate 3 mm","1","1","pcs","polycarbonate sheet","laser/CNC cut","380x440x3","quick screws; hose exit grommets stay over tray","P0","all wet connectors remain accessible","PP corrugated board for prototype only"
"PN-006","outer panel","dry right side panel","ABS or polycarbonate 3 mm","1","1","pcs","sheet stock","laser/CNC cut","320x440x3","lower intake and upper exhaust openings after fan selection","P0","no wet-side opening below Z=380","opaque PVC foam board"
"PN-007","outer panel","dry front service door","ABS or polycarbonate 3 mm","1","1","pcs","sheet stock","laser/CNC cut","160x440x3","E-stop/Start/Reset holes transferred from purchased parts","P0","controls spaced ≥55 center-to-center","opaque PVC foam board"
"PN-008","outer panel","dry rear panel","ABS or polycarbonate 3 mm","1","1","pcs","sheet stock","laser/CNC cut","160x440x3","power and USB strain-relief cutouts after module layout","P0","all connectors have strain relief","opaque PVC foam board"
"PN-009","outer panel","dry top panel","ABS or polycarbonate 3 mm","1","1","pcs","sheet stock","laser/CNC cut","160x320x3","upper exhaust opening with finger guard","P0","no exposed energized terminals","opaque PVC foam board"
"PN-010","A42 dry bay","electronics mounting plate","aluminum 5052 3 mm","1","1","pcs","aluminum sheet","laser/CNC cut then deburr","150x300x3","module holes by real-part transfer; M3/M4 slots preferred","P0","RDK USB side keeps ≥55 insertion clearance","3 mm FR4/G10 only if grounding plan permits"
"PN-011","A31 optical","camera drop plate","aluminum 5052 3 mm","1","1","pcs","aluminum sheet","laser/CNC cut","60x160x3","two 6x30 slots plus camera-specific transfer holes","P0","locks pitch after calibration","steel angle plate with ball head"
"WT-001","A21 wet bay","spill tray","PP/HDPE laboratory tray","1","1","pcs","purchased","none","max 380x320; lip ≥30","must fit inside wet bay and overlap partition by ≥20","P0","effective volume ≥0.8 L; target 3 L class","fabricated 3 mm PP welded tray"
"WT-002","A21 wet bay","leak sensor carrier","low-point perforated bracket","1","2","pcs","PETG/PP","3D print or hand cut","40x40x10 nominal","fix at leveled tray low corner","P0","sensor removable without lifting tray","adhesive cable saddle outside wettest point"
"WT-003","A22 cartridge cradle","cradle base plate","HDPE 6 mm","1","1","pcs","HDPE sheet","CNC/router cut","340x90x6","slotted M5 frame mounting holes","P0","cartridge front plane Y=80 ±1","6 mm PP"
"WT-004","A22 cartridge cradle","left/right guide strip","HDPE 10 mm","2","2","pcs","HDPE stock","mill/router cut","90x30x10","set finished slot width 43.0 +0.5/-0","P0","cartridge inserts only in correct orientation","aluminum angle with UHMW tape"
"WT-005","A22 cartridge cradle","rear datum stop","HDPE 6 mm","1","1","pcs","HDPE sheet","cut and drill","340x30x6","mount square to D2 plane","P0","repeat face position within 1 mm","aluminum flat bar"
"WT-006","A22 cartridge cradle","over-center hold-down clamp","small horizontal toggle clamp","2","2","pcs","purchased","none","vendor standard","clamp blocks touch cartridge frame not clear window","P0","no cartridge rattle; tool-free release","cam latch"
"WT-007","A22 cartridge cradle","cartridge-present switch bracket","slotted L bracket","1","2","pcs","aluminum 2 mm","bend/drill","25x25x40 nominal","hole pattern transferred from microswitch","P0","switch changes only at full seating","3D printed PETG bracket"
"WT-008","A24 wet module","water module slide plate","HDPE 6 mm","1","2","pcs","HDPE sheet","CNC/router cut","340x250x6","four hand-screw slots; pump holes by transfer","P0","slides out without disturbing electronics","6 mm PP"
"WT-009","A24 wet module","load-cell fixed plate","aluminum 3 mm","1","1","pcs","aluminum sheet","cut/drill","90x90x3","holes by purchased load-cell drawing","P0","no contact with reservoir plate","vendor load-cell base"
